PassengerId,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,FamilySize,Single,SmallFamily,MedFamily,LargeFamily,Title,target
1,3,1,22.0,1,0,1,7.25,8,3,2,0,1,0,0,2,0
2,1,0,38.0,1,0,10,71.2833,2,1,2,0,1,0,0,1,1
3,3,0,26.0,0,0,26,7.925,8,3,1,1,0,0,0,1,1
4,1,0,35.0,1,0,30,53.1,2,3,2,0,1,0,0,1,1
5,3,1,35.0,0,0,30,8.05,8,3,1,1,0,0,0,2,0
6,3,1,24.0,0,0,30,8.4583,8,2,1,1,0,0,0,2,0
7,1,1,54.0,0,0,30,51.8625,4,3,1,1,0,0,0,2,0
8,3,1,2.0,3,1,30,21.075,8,3,5,0,0,0,1,0,0
9,3,0,27.0,0,2,30,11.1333,8,3,3,0,0,1,0,1,1
10,2,0,14.0,1,0,30,30.0708,8,1,2,0,1,0,0,1,1
11,3,0,4.0,1,1,11,16.7,6,3,3,0,0,1,0,1,1
12,1,0,58.0,0,0,30,26.55,2,3,1,1,0,0,0,1,1
13,3,1,20.0,0,0,1,8.05,8,3,1,1,0,0,0,2,0
14,3,1,39.0,1,5,30,31.275,8,3,7,0,0,0,1,2,0
15,3,0,14.0,0,0,30,7.8542,8,3,1,1,0,0,0,1,0
16,2,0,55.0,0,0,30,16.0,8,3,1,1,0,0,0,1,1
17,3,1,2.0,4,1,30,29.125,8,2,6,0,0,0,1,0,0
18,2,1,24.0,0,0,30,13.0,8,3,1,1,0,0,0,2,1
19,3,0,31.0,1,0,30,18.0,8,3,2,0,1,0,0,1,0
20,3,0,24.0,0,0,30,7.225,8,1,1,1,0,0,0,1,1
21,2,1,35.0,0,0,30,26.0,8,3,1,1,0,0,0,2,0
22,2,1,34.0,0,0,30,13.0,3,3,1,1,0,0,0,2,1
23,3,0,15.0,0,0,30,8.0292,8,2,1,1,0,0,0,1,1
24,1,1,28.0,0,0,30,35.5,0,3,1,1,0,0,0,2,1
25,3,0,8.0,3,1,30,21.075,8,3,5,0,0,0,1,1,0
26,3,0,38.0,1,5,30,31.3875,8,3,7,0,0,0,1,1,1
27,3,1,24.0,0,0,30,7.225,8,1,1,1,0,0,0,2,0
28,1,1,19.0,3,2,30,263.0,2,3,6,0,0,0,1,2,0
29,3,0,24.0,0,0,30,7.8792,8,2,1,1,0,0,0,1,1
30,3,1,24.0,0,0,30,7.8958,8,3,1,1,0,0,0,2,0
31,1,1,40.0,0,0,10,27.7208,8,1,1,1,0,0,0,3,0
32,1,0,24.0,1,0,10,146.5208,1,1,2,0,1,0,0,1,1
33,3,0,24.0,0,0,30,7.75,8,2,1,1,0,0,0,1,1
34,2,1,66.0,0,0,4,10.5,8,3,1,1,0,0,0,2,0
35,1,1,28.0,1,0,10,82.1708,8,1,2,0,1,0,0,2,0
36,1,1,42.0,1,0,30,52.0,8,3,2,0,1,0,0,2,0
37,3,1,24.0,0,0,30,7.2292,8,1,1,1,0,0,0,2,1
38,3,1,21.0,0,0,1,8.05,8,3,1,1,0,0,0,2,0
39,3,0,18.0,2,0,30,18.0,8,3,3,0,0,1,0,1,0
40,3,0,14.0,1,0,30,11.2417,8,1,2,0,1,0,0,1,1
41,3,0,40.0,1,0,30,9.475,8,3,2,0,1,0,0,1,0
42,2,0,27.0,1,0,30,21.0,8,3,2,0,1,0,0,1,0
43,3,1,24.0,0,0,30,7.8958,8,1,1,1,0,0,0,2,0
44,2,0,3.0,1,2,18,41.5792,8,1,4,0,0,1,0,1,1
45,3,0,19.0,0,0,30,7.8792,8,2,1,1,0,0,0,1,1
46,3,1,24.0,0,0,14,8.05,8,3,1,1,0,0,0,2,0
47,3,1,24.0,1,0,30,15.5,8,2,2,0,1,0,0,2,0
48,3,0,24.0,0,0,30,7.75,8,2,1,1,0,0,0,1,1
49,3,1,24.0,2,0,30,21.6792,8,1,3,0,0,1,0,2,0
50,3,0,18.0,1,0,30,17.8,8,3,2,0,1,0,0,1,0
51,3,1,7.0,4,1,30,39.6875,8,3,6,0,0,0,1,0,0
52,3,1,21.0,0,0,0,7.8,8,3,1,1,0,0,0,2,0
53,1,0,49.0,1,0,10,76.7292,3,1,2,0,1,0,0,1,1
54,2,0,29.0,1,0,30,26.0,8,3,2,0,1,0,0,1,1
55,1,1,65.0,0,1,30,61.9792,1,1,2,0,1,0,0,2,0
56,1,1,24.0,0,0,30,35.5,2,3,1,1,0,0,0,2,1
57,2,0,21.0,0,0,4,10.5,8,3,1,1,0,0,0,1,1
58,3,1,28.5,0,0,30,7.2292,8,1,1,1,0,0,0,2,0
59,2,0,5.0,1,2,4,27.75,8,3,4,0,0,1,0,1,1
60,3,1,11.0,5,2,4,46.9,8,3,8,0,0,0,1,0,0
61,3,1,22.0,0,0,30,7.2292,8,1,1,1,0,0,0,2,0
62,1,0,38.0,0,0,30,80.0,1,0,1,1,0,0,0,1,1
63,1,1,45.0,1,0,30,83.475,2,3,2,0,1,0,0,2,0
64,3,1,4.0,3,2,30,27.9,8,3,6,0,0,0,1,0,0
65,1,1,24.0,0,0,10,27.7208,8,1,1,1,0,0,0,2,0
66,3,1,24.0,1,1,30,15.2458,8,1,3,0,0,1,0,0,1
67,2,0,29.0,0,0,4,10.5,5,3,1,1,0,0,0,1,1
68,3,1,19.0,0,0,24,8.1583,8,3,1,1,0,0,0,2,0
69,3,0,17.0,4,2,30,7.925,8,3,7,0,0,0,1,1,1
70,3,1,26.0,2,0,30,8.6625,8,3,3,0,0,1,0,2,0
71,2,1,32.0,0,0,4,10.5,8,3,1,1,0,0,0,2,0
72,3,0,16.0,5,2,4,46.9,8,3,8,0,0,0,1,1,0
73,2,1,21.0,0,0,19,73.5,8,3,1,1,0,0,0,2,0
74,3,1,26.0,1,0,30,14.4542,8,1,2,0,1,0,0,2,0
75,3,1,32.0,0,0,30,56.4958,8,3,1,1,0,0,0,2,1
76,3,1,25.0,0,0,30,7.65,5,3,1,1,0,0,0,2,0
77,3,1,24.0,0,0,30,7.8958,8,3,1,1,0,0,0,2,0
78,3,1,24.0,0,0,30,8.05,8,3,1,1,0,0,0,2,0
79,2,1,0.83,0,2,30,29.0,8,3,3,0,0,1,0,0,1
80,3,0,30.0,0,0,30,12.475,8,3,1,1,0,0,0,1,1
81,3,1,22.0,0,0,30,9.0,8,3,1,1,0,0,0,2,0
82,3,1,29.0,0,0,30,9.5,8,3,1,1,0,0,0,2,1
83,3,0,24.0,0,0,30,7.7875,8,2,1,1,0,0,0,1,1
84,1,1,28.0,0,0,30,47.1,8,3,1,1,0,0,0,2,0
85,2,0,17.0,0,0,19,10.5,8,3,1,1,0,0,0,1,1
86,3,0,33.0,3,0,30,15.85,8,3,4,0,0,1,0,1,1
87,3,1,16.0,1,3,28,34.375,8,3,5,0,0,0,1,2,0
88,3,1,24.0,0,0,23,8.05,8,3,1,1,0,0,0,2,0
89,1,0,23.0,3,2,30,263.0,2,3,6,0,0,0,1,1,1
90,3,1,24.0,0,0,30,8.05,8,3,1,1,0,0,0,2,0
91,3,1,29.0,0,0,30,8.05,8,3,1,1,0,0,0,2,0
92,3,1,20.0,0,0,30,7.8542,8,3,1,1,0,0,0,2,0
93,1,1,46.0,1,0,29,61.175,4,3,2,0,1,0,0,2,0
94,3,1,26.0,1,2,4,20.575,8,3,4,0,0,1,0,2,0
95,3,1,59.0,0,0,30,7.25,8,3,1,1,0,0,0,2,0
96,3,1,24.0,0,0,30,8.05,8,3,1,1,0,0,0,2,0
97,1,1,71.0,0,0,10,34.6542,0,1,1,1,0,0,0,2,0
98,1,1,23.0,0,1,10,63.3583,3,1,2,0,1,0,0,2,1
99,2,0,34.0,0,1,30,23.0,8,3,2,0,1,0,0,1,1
100,2,1,34.0,1,0,30,26.0,8,3,2,0,1,0,0,2,0
101,3,0,28.0,0,0,30,7.8958,8,3,1,1,0,0,0,1,0
102,3,1,24.0,0,0,30,7.8958,8,3,1,1,0,0,0,2,0
103,1,1,21.0,0,1,30,77.2875,3,3,2,0,1,0,0,2,0
104,3,1,33.0,0,0,30,8.6542,8,3,1,1,0,0,0,2,0
105,3,1,37.0,2,0,30,7.925,8,3,3,0,0,1,0,2,0
106,3,1,28.0,0,0,30,7.8958,8,3,1,1,0,0,0,2,0
107,3,0,21.0,0,0,30,7.65,8,3,1,1,0,0,0,1,1
108,3,1,24.0,0,0,30,7.775,8,3,1,1,0,0,0,2,1
109,3,1,38.0,0,0,30,7.8958,8,3,1,1,0,0,0,2,0
110,3,0,24.0,1,0,30,24.15,8,2,2,0,1,0,0,1,1
111,1,1,47.0,0,0,30,52.0,2,3,1,1,0,0,0,2,0
112,3,0,14.5,1,0,30,14.4542,8,1,2,0,1,0,0,1,0
113,3,1,22.0,0,0,30,8.05,8,3,1,1,0,0,0,2,0
114,3,0,20.0,1,0,30,9.825,8,3,2,0,1,0,0,1,0
115,3,0,17.0,0,0,30,14.4583,8,1,1,1,0,0,0,1,0
116,3,1,21.0,0,0,25,7.925,8,3,1,1,0,0,0,2,0
117,3,1,70.5,0,0,30,7.75,8,2,1,1,0,0,0,2,0
118,2,1,29.0,1,0,30,21.0,8,3,2,0,1,0,0,2,0
119,1,1,24.0,0,1,10,247.5208,1,1,2,0,1,0,0,2,0
120,3,0,2.0,4,2,30,31.275,8,3,7,0,0,0,1,1,0
121,2,1,21.0,2,0,19,73.5,8,3,3,0,0,1,0,2,0
122,3,1,24.0,0,0,0,8.05,8,3,1,1,0,0,0,2,0
123,2,1,32.5,1,0,30,30.0708,8,1,2,0,1,0,0,2,0
124,2,0,32.5,0,0,30,13.0,4,3,1,1,0,0,0,1,1
125,1,1,54.0,0,1,30,77.2875,3,3,2,0,1,0,0,2,0
126,3,1,12.0,1,0,30,11.2417,8,1,2,0,1,0,0,0,1
127,3,1,24.0,0,0,30,7.75,8,2,1,1,0,0,0,2,0
128,3,1,24.0,0,0,3,7.1417,8,3,1,1,0,0,0,2,1
129,3,0,24.0,1,1,30,22.3583,5,1,3,0,0,1,0,1,1
130,3,1,45.0,0,0,30,6.975,8,3,1,1,0,0,0,2,0
131,3,1,33.0,0,0,30,7.8958,8,1,1,1,0,0,0,2,0
132,3,1,20.0,0,0,23,7.05,8,3,1,1,0,0,0,2,0
133,3,0,47.0,1,0,1,14.5,8,3,2,0,1,0,0,1,0
134,2,0,29.0,1,0,30,26.0,8,3,2,0,1,0,0,1,1
135,2,1,25.0,0,0,4,13.0,8,3,1,1,0,0,0,2,0
136,2,1,23.0,0,0,17,15.0458,8,1,1,1,0,0,0,2,0
137,1,0,19.0,0,2,30,26.2833,3,3,3,0,0,1,0,1,1
138,1,1,37.0,1,0,30,53.1,2,3,2,0,1,0,0,2,0
139,3,1,16.0,0,0,30,9.2167,8,3,1,1,0,0,0,2,0
140,1,1,24.0,0,0,10,79.2,1,1,1,1,0,0,0,2,0
141,3,0,24.0,0,2,30,15.2458,8,1,3,0,0,1,0,1,0
142,3,0,22.0,0,0,30,7.75,8,3,1,1,0,0,0,1,1
143,3,0,24.0,1,0,26,15.85,8,3,2,0,1,0,0,1,1
144,3,1,19.0,0,0,30,6.75,8,2,1,1,0,0,0,2,0
145,2,1,18.0,0,0,30,11.5,8,3,1,1,0,0,0,2,0
146,2,1,19.0,1,1,4,36.75,8,3,3,0,0,1,0,2,0
147,3,1,27.0,0,0,30,7.7958,8,3,1,1,0,0,0,2,1
148,3,0,9.0,2,2,28,34.375,8,3,5,0,0,0,1,1,0
149,2,1,36.5,0,2,30,26.0,5,3,3,0,0,1,0,2,0
150,2,1,42.0,0,0,30,13.0,8,3,1,1,0,0,0,3,0
151,2,1,51.0,0,0,20,12.525,8,3,1,1,0,0,0,3,0
152,1,0,22.0,1,0,30,66.6,2,3,2,0,1,0,0,1,1
153,3,1,55.5,0,0,1,8.05,8,3,1,1,0,0,0,2,0
154,3,1,40.5,0,2,1,14.5,8,3,3,0,0,1,0,2,0
155,3,1,24.0,0,0,8,7.3125,8,3,1,1,0,0,0,2,0
156,1,1,51.0,0,1,10,61.3792,8,1,2,0,1,0,0,2,0
157,3,0,16.0,0,0,30,7.7333,8,2,1,1,0,0,0,1,1
158,3,1,30.0,0,0,23,8.05,8,3,1,1,0,0,0,2,0
159,3,1,24.0,0,0,30,8.6625,8,3,1,1,0,0,0,2,0
160,3,1,24.0,8,2,4,69.55,8,3,11,0,0,0,1,0,0
161,3,1,44.0,0,1,30,16.1,8,3,2,0,1,0,0,2,0
162,2,0,40.0,0,0,4,15.75,8,3,1,1,0,0,0,1,1
163,3,1,26.0,0,0,30,7.775,8,3,1,1,0,0,0,2,0
164,3,1,17.0,0,0,30,8.6625,8,3,1,1,0,0,0,2,0
165,3,1,1.0,4,1,30,39.6875,8,3,6,0,0,0,1,0,0
166,3,1,9.0,0,2,30,20.525,8,3,3,0,0,1,0,0,1
167,1,0,24.0,0,1,30,55.0,4,3,2,0,1,0,0,1,1
168,3,0,45.0,1,4,30,27.9,8,3,6,0,0,0,1,1,0
169,1,1,24.0,0,0,10,25.925,8,3,1,1,0,0,0,2,0
170,3,1,28.0,0,0,30,56.4958,8,3,1,1,0,0,0,2,0
171,1,1,61.0,0,0,30,33.5,1,3,1,1,0,0,0,2,0
172,3,1,4.0,4,1,30,29.125,8,2,6,0,0,0,1,0,0
173,3,0,1.0,1,1,30,11.1333,8,3,3,0,0,1,0,1,1
174,3,1,21.0,0,0,25,7.925,8,3,1,1,0,0,0,2,0
175,1,1,56.0,0,0,30,30.6958,0,1,1,1,0,0,0,2,0
176,3,1,18.0,1,1,30,7.8542,8,3,3,0,0,1,0,2,0
177,3,1,24.0,3,1,30,25.4667,8,3,5,0,0,0,1,0,0
178,1,0,50.0,0,0,10,28.7125,2,1,1,1,0,0,0,1,0
179,2,1,30.0,0,0,30,13.0,8,3,1,1,0,0,0,2,0
180,3,1,36.0,0,0,9,0.0,8,3,1,1,0,0,0,2,0
181,3,0,24.0,8,2,4,69.55,8,3,11,0,0,0,1,1,0
182,2,1,24.0,0,0,17,15.05,8,1,1,1,0,0,0,2,0
183,3,1,9.0,4,2,30,31.3875,8,3,7,0,0,0,1,0,0
184,2,1,1.0,2,1,30,39.0,5,3,4,0,0,1,0,0,1
185,3,0,4.0,0,2,30,22.025,8,3,3,0,0,1,0,1,1
186,1,1,24.0,0,0,30,50.0,0,3,1,1,0,0,0,2,0
187,3,0,24.0,1,0,30,15.5,8,2,2,0,1,0,0,1,1
188,1,1,45.0,0,0,30,26.55,8,3,1,1,0,0,0,2,1
189,3,1,40.0,1,1,30,15.5,8,2,3,0,0,1,0,2,0
190,3,1,36.0,0,0,30,7.8958,8,3,1,1,0,0,0,2,0
191,2,0,32.0,0,0,30,13.0,8,3,1,1,0,0,0,1,1
192,2,1,19.0,0,0,30,13.0,8,3,1,1,0,0,0,2,0
193,3,0,19.0,1,0,30,7.8542,8,3,2,0,1,0,0,1,1
194,2,1,3.0,1,1,30,26.0,5,3,3,0,0,1,0,0,1
195,1,0,44.0,0,0,10,27.7208,1,1,1,1,0,0,0,1,1
196,1,0,58.0,0,0,10,146.5208,1,1,1,1,0,0,0,1,1
197,3,1,24.0,0,0,30,7.75,8,2,1,1,0,0,0,2,0
198,3,1,42.0,0,1,30,8.4042,8,3,2,0,1,0,0,2,0
199,3,0,24.0,0,0,30,7.75,8,2,1,1,0,0,0,1,1
200,2,0,24.0,0,0,30,13.0,8,3,1,1,0,0,0,1,0
201,3,1,28.0,0,0,30,9.5,8,3,1,1,0,0,0,2,0
202,3,1,24.0,8,2,4,69.55,8,3,11,0,0,0,1,2,0
203,3,1,34.0,0,0,30,6.4958,8,3,1,1,0,0,0,2,0
204,3,1,45.5,0,0,30,7.225,8,1,1,1,0,0,0,2,0
205,3,1,18.0,0,0,1,8.05,8,3,1,1,0,0,0,2,1
206,3,0,2.0,0,1,30,10.4625,6,3,2,0,1,0,0,1,0
207,3,1,32.0,1,0,30,15.85,8,3,2,0,1,0,0,2,0
208,3,1,26.0,0,0,30,18.7875,8,1,1,1,0,0,0,2,1
209,3,0,16.0,0,0,30,7.75,8,2,1,1,0,0,0,1,1
210,1,1,40.0,0,0,30,31.0,0,1,1,1,0,0,0,2,1
211,3,1,24.0,0,0,23,7.05,8,3,1,1,0,0,0,2,0
212,2,0,35.0,0,0,7,21.0,8,3,1,1,0,0,0,1,1
213,3,1,22.0,0,0,1,7.25,8,3,1,1,0,0,0,2,0
214,2,1,30.0,0,0,30,13.0,8,3,1,1,0,0,0,2,0
215,3,1,24.0,1,0,30,7.75,8,2,2,0,1,0,0,2,0
216,1,0,31.0,1,0,30,113.275,3,1,2,0,1,0,0,1,1
217,3,0,27.0,0,0,26,7.925,8,3,1,1,0,0,0,1,1
218,2,1,42.0,1,0,30,27.0,8,3,2,0,1,0,0,2,0
219,1,0,32.0,0,0,30,76.2917,3,1,1,1,0,0,0,1,1
220,2,1,30.0,0,0,28,10.5,8,3,1,1,0,0,0,2,0
221,3,1,16.0,0,0,23,8.05,8,3,1,1,0,0,0,2,1
222,2,1,27.0,0,0,30,13.0,8,3,1,1,0,0,0,2,0
223,3,1,51.0,0,0,30,8.05,8,3,1,1,0,0,0,2,0
224,3,1,24.0,0,0,30,7.8958,8,3,1,1,0,0,0,2,0
225,1,1,38.0,1,0,30,90.0,2,3,2,0,1,0,0,2,1
226,3,1,22.0,0,0,11,9.35,8,3,1,1,0,0,0,2,0
227,2,1,19.0,0,0,27,10.5,8,3,1,1,0,0,0,2,1
228,3,1,20.5,0,0,1,7.25,8,3,1,1,0,0,0,2,0
229,2,1,18.0,0,0,30,13.0,8,3,1,1,0,0,0,2,0
230,3,0,24.0,3,1,30,25.4667,8,3,5,0,0,0,1,1,0
231,1,0,35.0,1,0,30,83.475,2,3,2,0,1,0,0,1,1
232,3,1,29.0,0,0,30,7.775,8,3,1,1,0,0,0,2,0
233,2,1,59.0,0,0,30,13.5,8,3,1,1,0,0,0,2,0
234,3,0,5.0,4,2,30,31.3875,8,3,7,0,0,0,1,1,1
235,2,1,24.0,0,0,4,10.5,8,3,1,1,0,0,0,2,0
236,3,0,24.0,0,0,28,7.55,8,3,1,1,0,0,0,1,0
237,2,1,44.0,1,0,30,26.0,8,3,2,0,1,0,0,2,0
238,2,0,8.0,0,2,4,26.25,8,3,3,0,0,1,0,1,1
239,2,1,19.0,0,0,30,10.5,8,3,1,1,0,0,0,2,0
240,2,1,33.0,0,0,16,12.275,8,3,1,1,0,0,0,2,0
241,3,0,24.0,1,0,30,14.4542,8,1,2,0,1,0,0,1,0
242,3,0,24.0,1,0,30,15.5,8,2,2,0,1,0,0,1,1
243,2,1,29.0,0,0,28,10.5,8,3,1,1,0,0,0,2,0
244,3,1,22.0,0,0,25,7.125,8,3,1,1,0,0,0,2,0
245,3,1,30.0,0,0,30,7.225,8,1,1,1,0,0,0,2,0
246,1,1,44.0,2,0,30,90.0,2,2,3,0,0,1,0,3,0
247,3,0,25.0,0,0,30,7.775,8,3,1,1,0,0,0,1,0
248,2,0,24.0,0,2,30,14.5,8,3,3,0,0,1,0,1,1
249,1,1,37.0,1,1,30,52.5542,3,3,3,0,0,1,0,2,1
250,2,1,54.0,1,0,30,26.0,8,3,2,0,1,0,0,3,0
251,3,1,24.0,0,0,30,7.25,8,3,1,1,0,0,0,2,0
252,3,0,29.0,1,1,30,10.4625,6,3,3,0,0,1,0,1,0
253,1,1,62.0,0,0,30,26.55,2,3,1,1,0,0,0,2,0
254,3,1,30.0,1,0,1,16.1,8,3,2,0,1,0,0,2,0
255,3,0,41.0,0,2,30,20.2125,8,3,3,0,0,1,0,1,0
256,3,0,29.0,0,2,30,15.2458,8,1,3,0,0,1,0,1,1
257,1,0,24.0,0,0,10,79.2,8,1,1,1,0,0,0,1,1
258,1,0,30.0,0,0,30,86.5,1,3,1,1,0,0,0,1,1
259,1,0,35.0,0,0,10,512.3292,8,1,1,1,0,0,0,1,1
260,2,0,50.0,0,1,30,26.0,8,3,2,0,1,0,0,1,1
261,3,1,24.0,0,0,30,7.75,8,2,1,1,0,0,0,2,0
262,3,1,3.0,4,2,30,31.3875,8,3,7,0,0,0,1,0,1
263,1,1,52.0,1,1,30,79.65,4,3,3,0,0,1,0,2,0
264,1,1,40.0,0,0,30,0.0,1,3,1,1,0,0,0,2,0
265,3,0,24.0,0,0,30,7.75,8,2,1,1,0,0,0,1,0
266,2,1,36.0,0,0,4,10.5,8,3,1,1,0,0,0,2,0
267,3,1,16.0,4,1,30,39.6875,8,3,6,0,0,0,1,2,0
268,3,1,25.0,1,0,30,7.775,8,3,2,0,1,0,0,2,1
269,1,0,58.0,0,1,10,153.4625,2,3,2,0,1,0,0,1,1
270,1,0,35.0,0,0,10,135.6333,2,3,1,1,0,0,0,1,1
271,1,1,24.0,0,0,30,31.0,8,3,1,1,0,0,0,2,0
